school_year,level,division_name,english_learners,total_students,pct_english_learners
2003-2004,Division,Albemarle County,636,12559,5.064097459988853
2003-2004,Division,Charlottesville City,175,4416,3.96286231884058
2003-2004,State,Virginia,60295,1191010,5.062509970529215
2004-2005,Division,Albemarle County,776,12433,6.241454194482426
2004-2005,Division,Charlottesville City,231,4383,5.2703627652292955
2004-2005,State,Virginia,74677,1204040,6.20220258463174
2005-2006,Division,Albemarle County,882,12779,6.901948509273026
2005-2006,Division,Charlottesville City,264,4331,6.095589933040868
2005-2006,State,Virginia,79558,1214124,6.55270796063664
2006-2007,Division,Albemarle County,1017,12747,7.978347846552129
2006-2007,Division,Charlottesville City,336,4226,7.950780880265026
2006-2007,State,Virginia,86393,1220824,7.076613828037456
2007-2008,Division,Albemarle County,964,12802,7.530073426027182
2007-2008,Division,Charlottesville City,399,4081,9.777015437392796
2007-2008,State,Virginia,94357,1231306,7.663164152533976
2008-2009,Division,Albemarle County,946,12827,7.375068215482966
2008-2009,Division,Charlottesville City,456,4059,11.23429416112343
2008-2009,State,Virginia,99839,1235498,8.080871033380872
2009-2010,Division,Albemarle County,1016,13045,7.788424683786892
2009-2010,Division,Charlottesville City,463,4014,11.534628799202789
2009-2010,State,Virginia,103440,1245036,8.308193498019333
2010-2011,Division,Albemarle County,1029,13221,7.7830723848422965
2010-2011,Division,Charlottesville City,445,4030,11.042183622828784
2010-2011,State,Virginia,115028,1252266,9.185588365411181
2011-2012,Division,Albemarle County,1043,13113,7.9539388393197585
2011-2012,Division,Charlottesville City,468,4175,11.209580838323353
2011-2012,State,Virginia,119397,1258896,9.484262401342129
2012-2013,Division,Albemarle County,1053,13277,7.931008510958801
2012-2013,Division,Charlottesville City,529,4236,12.48819641170916
2012-2013,State,Virginia,121736,1265277,9.621292412649563
2013-2014,Division,Albemarle County,1116,13432,8.308516974389518
2013-2014,Division,Charlottesville City,547,4340,12.6036866359447
2013-2014,State,Virginia,125859,1273532,9.882672755768995
2014-2015,Division,Albemarle County,1189,13689,8.685806121703557
2014-2015,Division,Charlottesville City,572,4356,13.131313131313133
2014-2015,State,Virginia,128925,1280370,10.069354952084163
2015-2016,Division,Albemarle County,1156,13772,8.393842579146094
2015-2016,Division,Charlottesville City,520,4382,11.866727521679598
2015-2016,State,Virginia,129366,1284114,10.074339194183695
2016-2017,Division,Albemarle County,1393,13818,10.081053698074975
2016-2017,Division,Charlottesville City,624,4478,13.934792317999106
2016-2017,State,Virginia,154024,1288033,11.958078713821774
2017-2018,Division,Albemarle County,1386,13937,9.94475138121547
2017-2018,Division,Charlottesville City,629,4529,13.888275557518215
2017-2018,State,Virginia,159130,1292706,12.309836884798244
2018-2019,Division,Albemarle County,1350,14013,9.633911368015415
2018-2019,Division,Charlottesville City,617,4561,13.527735145801358
2018-2019,State,Virginia,162374,1290513,12.582128192432002
2019-2020,Division,Albemarle County,1448,14435,10.031174229303776
2019-2020,Division,Charlottesville City,650,4544,14.304577464788732
2019-2020,State,Virginia,167335,1298083,12.890932243932014
2020-2021,Division,Albemarle County,1361,13532,10.057641146911026
2020-2021,Division,Charlottesville City,640,4258,15.03053076561766
2020-2021,State,Virginia,160251,1252752,12.79191731483965
2021-2022,Division,Albemarle County,1397,13749,10.160738962833662
2021-2022,Division,Charlottesville City,626,4290,14.592074592074592
2021-2022,State,Virginia,161197,1251970,12.875468262019057
2022-2023,Division,Albemarle County,1538,13970,11.009305654974947
2022-2023,Division,Charlottesville City,765,4491,17.034068136272545
2022-2023,State,Virginia,172898,1263367,13.685492814043743
2023-2024,Division,Albemarle County,1638,13835,11.839537405131912
2023-2024,Division,Charlottesville City,862,4444,19.396939693969397
2023-2024,State,Virginia,177950,1262011,14.100511009808947
2024-2025,Division,Albemarle County,1844,14173,13.010654060537641
2024-2025,Division,Charlottesville City,923,4443,20.77425163178033
2024-2025,State,Virginia,187577,1261387,14.870693926606188
2025-2026,Division,Albemarle County,1949,14062,13.860048357274927
2025-2026,Division,Charlottesville City,924,4361,21.187800963081862
2025-2026,State,Virginia,191848,1246285,15.393589748733236
