division_name,school_year,population,individual_student_offenders,rate,type,source
Albemarle County,2021-2022,13749,494,35.93,In-School Suspension,SBAR
Charlottesville City,2021-2022,4290,62,14.45,In-School Suspension,SBAR
Virginia,2021-2022,1251970,59126,47.23,In-School Suspension,SBAR
Albemarle County,2022-2023,13970,652,46.67,In-School Suspension,SBAR
Charlottesville City,2022-2023,4491,63,14.03,In-School Suspension,SBAR
Virginia,2022-2023,1263367,73104,57.86,In-School Suspension,SBAR
Albemarle County,2023-2024,13835,691,49.95,In-School Suspension,SBAR
Charlottesville City,2023-2024,4444,119,26.78,In-School Suspension,SBAR
Virginia,2023-2024,1262011,74392,58.95,In-School Suspension,SBAR
Albemarle County,2024-2025,14173,649,45.79,In-School Suspension,SBAR
Charlottesville City,2024-2025,4443,200,45.01,In-School Suspension,SBAR
Virginia,2024-2025,1261387,74014,58.68,In-School Suspension,SBAR
