location_type,location,time_frame,data_format,rate_infant_mortality,rate_infant_mortality_3yravg
County,Albemarle,2008,"Rate per 1,000 births",9.74314,NA
County,Albemarle,2009,"Rate per 1,000 births",4.62107,5.68807
County,Albemarle,2010,"Rate per 1,000 births",2.7,3.384643333333333
County,Albemarle,2011,"Rate per 1,000 births",2.83286,2.1608433333333332
County,Albemarle,2012,"Rate per 1,000 births",0.94967,3.4538266666666666
County,Albemarle,2013,"Rate per 1,000 births",6.57895,3.4785333333333335
County,Albemarle,2014,"Rate per 1,000 births",2.90698,3.4786433333333338
County,Albemarle,2015,"Rate per 1,000 births",0.95,1.5755166666666671
County,Albemarle,2016,"Rate per 1,000 births",0.86957,0.6065233333333339
County,Albemarle,2017,"Rate per 1,000 births",0,3.1415566666666668
County,Albemarle,2018,"Rate per 1,000 births",8.5551,4.476133333333334
County,Albemarle,2019,"Rate per 1,000 births",4.8733,6.1873000000000005
County,Albemarle,2020,"Rate per 1,000 births",5.1335,5.568933333333334
County,Albemarle,2021,"Rate per 1,000 births",6.7,6.144500000000001
County,Albemarle,2022,"Rate per 1,000 births",6.6,6.066666666666667
County,Albemarle,2023,"Rate per 1,000 births",4.9,NA
County,Charlottesville,2008,"Rate per 1,000 births",6.70017,NA
County,Charlottesville,2009,"Rate per 1,000 births",8.75657,8.18558
County,Charlottesville,2010,"Rate per 1,000 births",9.1,7.288196666666667
County,Charlottesville,2011,"Rate per 1,000 births",4.00802,7.26789
County,Charlottesville,2012,"Rate per 1,000 births",8.69565,4.77922
County,Charlottesville,2013,"Rate per 1,000 births",1.63399,3.9765466666666662
County,Charlottesville,2014,"Rate per 1,000 births",1.6,2.8146633333333333
County,Charlottesville,2015,"Rate per 1,000 births",5.21,4.659486666666666
County,Charlottesville,2016,"Rate per 1,000 births",7.16846,6.970293333333333
County,Charlottesville,2017,"Rate per 1,000 births",8.53242,6.33556
County,Charlottesville,2018,"Rate per 1,000 births",3.3058,5.54864
County,Charlottesville,2019,"Rate per 1,000 births",4.8077,3.3029333333333333
County,Charlottesville,2020,"Rate per 1,000 births",1.7953,3.3676666666666666
County,Charlottesville,2021,"Rate per 1,000 births",3.5,3.0317666666666665
County,Charlottesville,2022,"Rate per 1,000 births",3.8,4.8999999999999995
County,Charlottesville,2023,"Rate per 1,000 births",7.4,NA
State,Virginia,2008,"Rate per 1,000 births",6.71808,NA
State,Virginia,2009,"Rate per 1,000 births",7.04903,6.8557033333333335
State,Virginia,2010,"Rate per 1,000 births",6.8,6.843443333333333
State,Virginia,2011,"Rate per 1,000 births",6.6813,6.601193333333334
State,Virginia,2012,"Rate per 1,000 births",6.32228,6.4003533333333325
State,Virginia,2013,"Rate per 1,000 births",6.19748,6.073476666666665
State,Virginia,2014,"Rate per 1,000 births",5.70067,5.922716666666666
State,Virginia,2015,"Rate per 1,000 births",5.87,5.790193333333332
State,Virginia,2016,"Rate per 1,000 births",5.79991,5.84739
State,Virginia,2017,"Rate per 1,000 births",5.87226,5.7546
State,Virginia,2018,"Rate per 1,000 births",5.59163,5.771296666666667
State,Virginia,2019,"Rate per 1,000 births",5.85,5.735856666666667
State,Virginia,2020,"Rate per 1,000 births",5.76594,5.871980000000001
State,Virginia,2021,"Rate per 1,000 births",6,5.988646666666668
State,Virginia,2022,"Rate per 1,000 births",6.2,6.000000000000001
State,Virginia,2023,"Rate per 1,000 births",5.8,NA
