year,geography,maternal_race_and_ethnicity,infant_deaths,total_live_births,infant_mortality_rate
2015,Virginia (All Localities),American Indian or Alaskan Native,12,177,67.796999999999997
2015,Virginia (All Localities),"Another Race, Non-Hispanic",0,2069,0
2015,Virginia (All Localities),Asian or Pacific Islander,27,7774,3.4729999999999999
2015,Virginia (All Localities),Black or African American,224,20811,10.763999999999999
2015,Virginia (All Localities),Hispanic or Latinx (All Races),68,13901,4.8920000000000003
2015,Virginia (All Localities),Unknown Race and Ethnicity,<5,1527,*
2015,Virginia (All Localities),White,212,56648,3.742
2015,Albemarle County,American Indian or Alaskan Native,0,<5,0
2015,Albemarle County,"Another Race, Non-Hispanic",0,26,0
2015,Albemarle County,Asian or Pacific Islander,<5,59,*
2015,Albemarle County,Black or African American,0,101,0
2015,Albemarle County,Hispanic or Latinx (All Races),0,99,0
2015,Albemarle County,White,0,762,0
2015,Charlottesville City,American Indian or Alaskan Native,0,<5,0
2015,Charlottesville City,"Another Race, Non-Hispanic",0,8,0
2015,Charlottesville City,Asian or Pacific Islander,0,46,0
2015,Charlottesville City,Black or African American,0,110,0
2015,Charlottesville City,Hispanic or Latinx (All Races),0,57,0
2015,Charlottesville City,White,<5,354,*
2016,Virginia (All Localities),American Indian or Alaskan Native,10,145,68.965999999999994
2016,Virginia (All Localities),"Another Race, Non-Hispanic",0,2206,0
2016,Virginia (All Localities),Asian or Pacific Islander,35,7764,4.508
2016,Virginia (All Localities),Black or African American,215,20078,10.708
2016,Virginia (All Localities),Hispanic or Latinx (All Races),63,14133,4.4580000000000002
2016,Virginia (All Localities),Unknown Race and Ethnicity,<5,3671,*
2016,Virginia (All Localities),White,210,54168,3.8769999999999998
2016,Albemarle County,"Another Race, Non-Hispanic",0,16,0
2016,Albemarle County,Asian or Pacific Islander,<5,69,*
2016,Albemarle County,Black or African American,0,121,0
2016,Albemarle County,Hispanic or Latinx (All Races),0,110,0
2016,Albemarle County,Unknown Race and Ethnicity,0,<5,0
2016,Albemarle County,White,0,762,0
2016,Charlottesville City,American Indian or Alaskan Native,0,<5,0
2016,Charlottesville City,"Another Race, Non-Hispanic",0,16,0
2016,Charlottesville City,Asian or Pacific Islander,0,44,0
2016,Charlottesville City,Black or African American,<5,108,*
2016,Charlottesville City,Hispanic or Latinx (All Races),0,68,0
2016,Charlottesville City,White,<5,384,*
2017,Virginia (All Localities),American Indian or Alaskan Native,16,164,97.561000000000007
2017,Virginia (All Localities),"Another Race, Non-Hispanic",0,2360,0
2017,Virginia (All Localities),Asian or Pacific Islander,38,7606,4.9960000000000004
2017,Virginia (All Localities),Black or African American,224,20510,10.922000000000001
2017,Virginia (All Localities),Hispanic or Latinx (All Races),71,13984,5.077
2017,Virginia (All Localities),Unknown Race and Ethnicity,<5,3986,*
2017,Virginia (All Localities),White,214,52560,4.0720000000000001
2017,Albemarle County,American Indian or Alaskan Native,0,<5,0
2017,Albemarle County,"Another Race, Non-Hispanic",0,28,0
2017,Albemarle County,Asian or Pacific Islander,0,68,0
2017,Albemarle County,Black or African American,0,112,0
2017,Albemarle County,Hispanic or Latinx (All Races),0,102,0
2017,Albemarle County,Unknown Race and Ethnicity,0,<5,0
2017,Albemarle County,White,0,742,0
2017,Charlottesville City,American Indian or Alaskan Native,0,<5,0
2017,Charlottesville City,"Another Race, Non-Hispanic",0,22,0
2017,Charlottesville City,Asian or Pacific Islander,0,41,0
2017,Charlottesville City,Black or African American,0,128,0
2017,Charlottesville City,Hispanic or Latinx (All Races),0,52,0
2017,Charlottesville City,White,5,342,14.62
2018,Virginia (All Localities),American Indian or Alaskan Native,6,171,35.088000000000001
2018,Virginia (All Localities),"Another Race, Non-Hispanic",0,2412,0
2018,Virginia (All Localities),Asian or Pacific Islander,25,7537,3.3170000000000002
2018,Virginia (All Localities),Black or African American,200,20295,9.8550000000000004
2018,Virginia (All Localities),Hispanic or Latinx (All Races),67,14384,4.6580000000000004
2018,Virginia (All Localities),Unknown Race and Ethnicity,<5,3778,*
2018,Virginia (All Localities),White,226,51326,4.4029999999999996
2018,Albemarle County,American Indian or Alaskan Native,0,<5,0
2018,Albemarle County,"Another Race, Non-Hispanic",0,27,0
2018,Albemarle County,Asian or Pacific Islander,0,59,0
2018,Albemarle County,Black or African American,<5,117,*
2018,Albemarle County,Hispanic or Latinx (All Races),<5,99,*
2018,Albemarle County,Unknown Race and Ethnicity,0,<5,0
2018,Albemarle County,White,6,749,8.01
2018,Charlottesville City,American Indian or Alaskan Native,0,<5,0
2018,Charlottesville City,"Another Race, Non-Hispanic",0,18,0
2018,Charlottesville City,Asian or Pacific Islander,0,31,0
2018,Charlottesville City,Black or African American,0,106,0
2018,Charlottesville City,Hispanic or Latinx (All Races),<5,61,*
2018,Charlottesville City,Unknown Race and Ethnicity,0,<5,0
2018,Charlottesville City,White,<5,385,*
2019,Virginia (All Localities),American Indian or Alaskan Native,16,157,101.911
2019,Virginia (All Localities),"Another Race, Non-Hispanic",0,2476,0
2019,Virginia (All Localities),Asian or Pacific Islander,37,7684,4.8150000000000004
2019,Virginia (All Localities),Black or African American,223,20190,11.045
2019,Virginia (All Localities),Hispanic or Latinx (All Races),80,14474,5.5270000000000001
2019,Virginia (All Localities),Unknown Race and Ethnicity,5,23,217.39099999999999
2019,Virginia (All Localities),White,214,52751,4.0570000000000004
2019,Albemarle County,"Another Race, Non-Hispanic",0,23,0
2019,Albemarle County,Asian or Pacific Islander,<5,66,*
2019,Albemarle County,Black or African American,<5,107,*
2019,Albemarle County,Hispanic or Latinx (All Races),0,96,0
2019,Albemarle County,White,<5,735,*
2019,Charlottesville City,American Indian or Alaskan Native,0,<5,0
2019,Charlottesville City,"Another Race, Non-Hispanic",0,14,0
