fips,locality,year,count_felony,count_misdemeanor,count_total,age1017_tot,rate_felony,rate_misdemeanor,rate_total
51003,Albemarle,2010,99,404,503,9837,10.064043915827996,41.06943173731829,51.133475653146284
51540,Charlottesville,2010,86,243,329,2495,34.46893787575151,97.39478957915831,131.86372745490982
51,Virginia,2010,14422,41715,56137,832206,17.329843812709836,50.1258101960332,67.45565400874302
51003,Albemarle,2011,68,311,379,9886,6.87841391867287,31.4586283633421,38.33704228201497
51540,Charlottesville,2011,50,206,256,2519,19.849146486701073,81.77848352520842,101.62763001190949
51,Virginia,2011,12130,38811,50941,831247,14.592533867791403,46.69009331763002,61.28262718542142
51003,Albemarle,2012,55,347,402,9964,5.519871537535127,34.82537133681252,40.345242874347655
51540,Charlottesville,2012,49,212,261,2554,19.18559122944401,83.00704776820673,102.19263899765075
51,Virginia,2012,12485,38985,51470,831025,15.023615414698716,46.91194609067116,61.935561505369876
51003,Albemarle,2013,51,281,332,9993,5.103572500750525,28.11968377864505,33.22325627939558
51540,Charlottesville,2013,43,179,222,2577,16.686069072564997,69.4606131160264,86.14668218859138
51,Virginia,2013,10993,35886,46879,831118,13.22676202416504,43.17798435360562,56.40474637777067
51003,Albemarle,2014,44,252,296,10054,4.3763676148796495,25.064650885219812,29.44101850009946
51540,Charlottesville,2014,38,149,187,2581,14.722975590856258,57.72956218519953,72.45253777605579
51,Virginia,2014,11156,32852,44008,834284,13.371945284819077,39.377478172900354,52.74942345771944
51003,Albemarle,2015,60,188,248,10083,5.950609937518595,18.645244470891598,24.595854408410194
51540,Charlottesville,2015,44,174,218,2616,16.819571865443425,66.5137614678899,83.33333333333333
51,Virginia,2015,10622,30588,41210,836397,12.699710783276362,36.571149824784165,49.270860608060524
51003,Albemarle,2016,42,219,261,9977,4.209682269219204,21.950486118071563,26.16016838729077
51540,Charlottesville,2016,29,124,153,2683,10.80879612374208,46.21692135669027,57.02571748043235
51,Virginia,2016,10495,27975,38470,839664,12.499047237942797,33.31689818784657,45.815945425789366
51003,Albemarle,2017,38,179,217,9877,3.8473220613546624,18.122911815328543,21.970233876683203
51540,Charlottesville,2017,48,131,179,2713,17.692591227423517,48.286030224843344,65.97862145226686
51,Virginia,2017,11136,27353,38489,843572,13.201007145803796,32.4252108889342,45.626218034737995
51003,Albemarle,2018,32,191,223,9865,3.243791180942727,19.3613786112519,22.605169792194626
51540,Charlottesville,2018,25,114,139,2791,8.95736295234683,40.84557506270154,49.80293801504837
51,Virginia,2018,9681,24067,33748,843616,11.475600273110041,28.528382581648522,40.00398285475856
51003,Albemarle,2019,32,158,190,9823,3.2576605924870203,16.084699175404666,19.342359767891683
51540,Charlottesville,2019,39,72,111,2816,13.849431818181818,25.56818181818182,39.41761363636364
51,Virginia,2019,8796,22595,31391,840485,10.465386056860027,26.883287625597124,37.348673682457154
51003,Albemarle,2020,35,114,149,10512,3.3295281582952816,10.844748858447488,14.174277016742769
51540,Charlottesville,2020,30,81,111,2841,10.559662090813093,28.511087645195353,39.07074973600845
51,Virginia,2020,7185,16682,23867,880837,8.157014294358662,18.938804795893,27.095819090251656
51003,Albemarle,2021,65,108,173,10482,6.201106659034536,10.303377218088151,16.504483877122688
51540,Charlottesville,2021,40,59,99,2859,13.990905911157748,20.636586218957678,34.62749213011543
51,Virginia,2021,6496,15522,22018,877863,7.399787894010797,17.68157445979612,25.081362353806913
51003,Albemarle,2022,47,79,126,10425,4.508393285371702,7.577937649880096,12.086330935251798
51540,Charlottesville,2022,37,80,117,2956,12.516914749661705,27.06359945872801,39.580514208389715
51,Virginia,2022,6173,15653,21826,875430,7.051391887415328,17.88035593936694,24.931747826782267
51003,Albemarle,2023,87,126,213,10248,8.489461358313818,12.295081967213115,20.78454332552693
51540,Charlottesville,2023,35,95,130,3101,11.286681715575622,30.635278942276685,41.92196065785231
51,Virginia,2023,7332,19161,26493,874708,8.382225839937442,21.905595924582833,30.287821764520274
51003,Albemarle,2024,45,144,189,10355,4.345726702076291,13.906325446644134,18.252052148720427
51540,Charlottesville,2024,32,95,127,3117,10.266281681103624,30.478023740776386,40.744305421880014
51,Virginia,2024,7849,22016,29865,875023,8.970049930116122,25.160481495914965,34.130531426031084
51003,Albemarle,2025,49,112,161,NA,NA,NA,NA
51540,Charlottesville,2025,30,45,75,NA,NA,NA,NA
51,Virginia,2025,7958,21402,29360,NA,NA,NA,NA
