fips,locality,year,count_services,count_truancy,count_total
51003,Albemarle,2010,0,0,0
51540,Charlottesville,2010,1,0,1
51,Virginia,2010,3,0,3
51003,Albemarle,2011,0,0,0
51540,Charlottesville,2011,11,0,11
51,Virginia,2011,26,0,26
51003,Albemarle,2012,2,1,3
51540,Charlottesville,2012,9,0,9
51,Virginia,2012,151,469,620
51003,Albemarle,2013,19,28,47
51540,Charlottesville,2013,16,12,28
51,Virginia,2013,470,975,1445
51003,Albemarle,2014,37,38,75
51540,Charlottesville,2014,21,14,35
51,Virginia,2014,931,2015,2946
51003,Albemarle,2015,34,26,60
51540,Charlottesville,2015,35,22,57
51,Virginia,2015,1274,2462,3736
51003,Albemarle,2016,25,23,48
51540,Charlottesville,2016,54,19,73
51,Virginia,2016,1377,2612,3989
51003,Albemarle,2017,19,21,40
51540,Charlottesville,2017,44,17,61
51,Virginia,2017,1347,2532,3879
51003,Albemarle,2018,17,18,35
51540,Charlottesville,2018,15,16,31
51,Virginia,2018,1134,1958,3092
51003,Albemarle,2019,21,23,44
51540,Charlottesville,2019,7,10,17
51,Virginia,2019,1250,2007,3257
51003,Albemarle,2020,14,8,22
51540,Charlottesville,2020,13,3,16
51,Virginia,2020,938,1306,2244
51003,Albemarle,2021,4,4,8
51540,Charlottesville,2021,10,1,11
51,Virginia,2021,836,1401,2237
51003,Albemarle,2022,15,11,26
51540,Charlottesville,2022,9,6,15
51,Virginia,2022,1092,1775,2867
51003,Albemarle,2023,24,12,36
51540,Charlottesville,2023,9,2,11
51,Virginia,2023,1203,2275,3478
51003,Albemarle,2024,25,23,48
51540,Charlottesville,2024,4,5,9
51,Virginia,2024,1267,2527,3794
51003,Albemarle,2025,10,7,17
51540,Charlottesville,2025,3,9,12
51,Virginia,2025,1241,2506,3747
