GEOID,locality,year,pop_under18_white,pop_under18_black,pop_under18_aian,pop_under18_asian,pop_under18_nhpi,pop_under18_other,pop_under18_multi,pop_under18_white_nonhisp,pop_under18_hisp,pop_under18,per_under18_white,per_under18_black,per_under18_asian,per_under18_multi,per_under18_white_nonhisp,per_under18_hisp,per_under18_aian,per_under18_nhpi,per_under18_other
51003,Albemarle,2010,16823,2337,112,664,28,205,1120,15633,1541,21289,79.02,10.98,3.12,5.26,73.43,7.24,0.53,0.13,0.96
51540,Charlottesville,2010,3252,2174,51,242,0,176,507,3148,495,6402,50.8,33.96,3.78,7.92,49.17,7.73,0.8,0,2.75
51540,Charlottesville,2011,3435,2121,39,183,0,54,536,3140,515,6368,53.94,33.31,2.87,8.42,49.31,8.09,0.61,0,0.85
51003,Albemarle,2011,16651,2441,136,621,0,204,1301,15536,1647,21354,77.98,11.43,2.91,6.09,72.75,7.71,0.64,0,0.96
51003,Albemarle,2012,16611,2255,101,703,0,335,1442,15439,1746,21447,77.45,10.51,3.28,6.72,71.99,8.14,0.47,0,1.56
51540,Charlottesville,2012,3589,2220,18,211,0,47,413,3262,504,6498,55.23,34.16,3.25,6.36,50.2,7.76,0.28,0,0.72
51540,Charlottesville,2013,3695,2145,22,280,0,50,339,3337,516,6531,56.58,32.84,4.29,5.19,51.09,7.9,0.34,0,0.77
51003,Albemarle,2013,16683,2156,146,760,0,363,1461,15391,1853,21569,77.35,10,3.52,6.77,71.36,8.59,0.68,0,1.68
51540,Charlottesville,2014,3948,2120,0,269,0,30,417,3513,536,6784,58.2,31.25,3.97,6.15,51.78,7.9,0,0,0.44
51003,Albemarle,2014,16573,2055,89,870,0,486,1560,15329,1900,21633,76.61,9.5,4.02,7.21,70.86,8.78,0.41,0,2.25
51540,Charlottesville,2015,4064,2025,0,261,11,23,523,3593,571,6907,58.84,29.32,3.78,7.57,52.02,8.27,0,0.16,0.33
51003,Albemarle,2015,16589,2088,47,871,0,529,1576,15325,1980,21700,76.45,9.62,4.01,7.26,70.62,9.12,0.22,0,2.44
51540,Charlottesville,2016,4176,1918,49,314,11,47,569,3647,656,7084,58.95,27.08,4.43,8.03,51.48,9.26,0.69,0.16,0.66
