GEOID,locality,year,pop_u5_white,pop_5to9_white,pop_10to14_white,pop_15to17_white,pop_under18_white,pop_u5_black,pop_5to9_black,pop_10to14_black,pop_15to17_black,pop_under18_black,pop_u5_aian,pop_5to9_aian,pop_10to14_aian,pop_15to17_aian,pop_under18_aian,pop_u5_asian,pop_5to9_asian,pop_10to14_asian,pop_15to17_asian,pop_under18_asian,pop_u5_nhpi,pop_5to9_nhpi,pop_10to14_nhpi,pop_15to17_nhpi,pop_under18_nhpi,pop_u5_other,pop_5to9_other,pop_10to14_other,pop_15to17_other,pop_under18_other,pop_u5_multi,pop_5to9_multi,pop_10to14_multi,pop_15to17_multi,pop_under18_multi,pop_u5_white_nonhisp,pop_5to9_white_nonhisp,pop_10to14_white_nonhisp,pop_15to17_white_nonhisp,pop_under18_white_nonhisp,pop_u5_hisp,pop_5to9_hisp,pop_10to14_hisp,pop_15to17_hisp,pop_under18_hisp
51003,Albemarle,2010,4258,4538,5061,2966,16823,643,692,590,412,2337,0,69,43,0,112,227,260,124,53,664,0,14,14,0,28,98,30,36,41,205,282,234,418,186,1120,3800,4257,4682,2894,15633,606,320,495,120,1541
51540,Charlottesville,2010,1100,894,700,558,3252,610,579,524,461,2174,0,17,17,17,51,109,56,63,14,242,0,0,0,0,0,68,91,17,0,176,277,74,135,21,507,1100,859,661,528,3148,166,209,73,47,495
51540,Charlottesville,2011,1267,825,810,533,3435,643,513,540,425,2121,0,13,13,13,39,71,56,46,10,183,0,0,0,0,0,0,31,23,0,54,263,83,153,37,536,1111,750,770,509,3140,239,163,76,37,515
51003,Albemarle,2011,4212,4429,5041,2969,16651,687,772,583,399,2441,0,81,55,0,136,254,205,87,75,621,0,0,0,0,0,77,19,51,57,204,335,257,451,258,1301,3773,4200,4708,2855,15536,645,259,522,221,1647
51003,Albemarle,2012,4187,4536,4934,2954,16611,559,825,682,189,2255,0,36,65,0,101,269,211,132,91,703,0,0,0,0,0,145,49,74,67,335,480,269,461,232,1442,3735,4280,4593,2831,15439,679,283,560,224,1746
51540,Charlottesville,2012,1328,856,881,524,3589,737,540,537,406,2220,0,6,6,6,18,72,69,45,25,211,0,0,0,0,0,0,21,26,0,47,157,86,140,30,413,1174,757,827,504,3262,223,169,86,26,504
51540,Charlottesville,2013,1420,950,823,502,3695,632,488,636,389,2145,0,7,8,7,22,109,72,67,32,280,0,0,0,0,0,0,34,16,0,50,185,86,44,24,339,1263,818,776,480,3337,212,190,78,36,516
51003,Albemarle,2013,4252,4551,4931,2949,16683,621,744,614,177,2156,0,64,82,0,146,253,253,158,96,760,0,0,0,0,0,130,72,113,48,363,385,275,551,250,1461,3713,4256,4600,2822,15391,713,352,564,224,1853
51540,Charlottesville,2014,1511,1025,895,517,3948,665,529,582,344,2120,0,0,0,0,0,84,60,94,31,269,0,0,0,0,0,0,9,21,0,30,190,99,65,63,417,1373,806,842,492,3513,184,234,79,39,536
51003,Albemarle,2014,4296,4603,4726,2948,16573,525,687,534,309,2055,2,32,55,0,89,262,290,198,120,870,0,0,0,0,0,81,159,163,83,486,500,249,503,308,1560,3732,4286,4478,2833,15329,687,447,546,220,1900
51540,Charlottesville,2015,1554,1072,900,538,4064,625,582,518,300,2025,0,0,0,0,0,76,39,112,34,261,11,0,0,0,11,0,7,16,0,23,207,120,77,119,523,1398,869,811,515,3593,181,218,111,61,571
51003,Albemarle,2015,4347,4413,4861,2968,16589,546,659,557,326,2088,9,28,10,0,47,177,296,267,131,871,0,0,0,0,0,90,186,186,67,529,564,213,501,298,1576,3792,3958,4734,2841,15325,677,602,474,227,1980
51540,Charlottesville,2016,1588,1105,921,562,4176,594,593,491,240,1918,0,16,17,16,49,118,58,91,47,314,11,0,0,0,11,0,8,39,0,47,200,94,119,156,569,1397,900,832,518,3647,227,221,134,74,656
51003,Albemarle,2016,4342,4621,4755,3007,16725,544,742,545,370,2201,10,27,9,0,46,197,298,273,160,928,0,0,0,0,0,110,289,171,80,650,462,179,316,214,1171,3786,4155,4567,2851,15359,654,737,373,233,1997
51540,Charlottesville,2017,1620,1164,929,582,4295,565,594,645,110,1914,0,20,21,20,61,118,63,109,49,339,9,0,0,0,9,0,15,37,0,52,253,115,155,70,593,1403,967,804,515,3689,280,207,156,97,740
51003,Albemarle,2017,4409,4755,4655,2986,16805,675,698,632,388,2393,2,41,13,0,56,219,327,293,189,1028,0,0,0,0,0,43,266,117,106,532,325,163,261,175,924,3840,4184,4471,2846,15341,643,858,305,253,2059
51540,Charlottesville,2018,1655,1339,895,561,4450,620,563,517,273,1973,0,27,26,27,80,118,71,112,51,352,12,0,0,0,12,0,18,43,0,61,169,29,166,93,457,1448,1085,743,507,3783,251,267,183,76,777
51003,Albemarle,2018,4473,4587,4798,2981,16839,663,713,703,441,2520,9,43,15,5,72,264,310,321,206,1101,0,0,0,0,0,8,262,75,110,455,274,158,216,99,747,3858,4025,4524,2811,15218,654,852,357,246,2109
51540,Charlottesville,2019,1604,1206,1077,580,4467,505,497,707,306,2015,0,10,11,10,31,73,76,108,104,361,25,0,0,0,25,0,41,48,4,93,159,57,103,57,376,1388,1050,800,521,3759,230,167,315,87,799
51003,Albemarle,2019,4570,4763,4653,3000,16986,636,695,685,409,2425,0,21,24,11,56,232,259,287,163,941,0,0,0,0,0,27,161,26,102,316,318,313,235,133,999,3968,4178,4334,2790,15270,650,822,372,279,2123
51540,Charlottesville,2020,1561,1294,908,544,4307,506,613,669,212,2000,0,12,13,13,38,150,109,112,46,417,0,0,0,0,0,0,44,53,6,103,263,37,132,24,456,1377,1165,722,495,3759,290,147,300,63,800
51003,Albemarle,2020,4436,4659,4532,2914,16541,648,655,598,399,2300,70,2,11,1,84,333,315,249,144,1041,0,0,0,0,0,84,188,100,82,454,353,335,481,274,1443,3983,4198,4289,2754,15224,623,705,480,291,2099
51003,Albemarle,2021,4411,4558,4653,2914,16536,418,419,721,357,1915,72,17,44,6,139,315,357,249,153,1074,0,0,0,0,0,89,96,315,54,554,615,564,586,434,2199,3987,4218,4512,2814,15531,623,496,735,303,2157
51540,Charlottesville,2021,1546,1255,1004,527,4332,450,653,515,271,1889,0,0,0,0,0,134,111,113,45,403,0,0,0,0,0,27,42,7,2,78,303,111,143,55,612,1349,1130,794,487,3760,290,171,288,60,809
51003,Albemarle,2022,4148,4498,4464,2830,15940,423,461,600,362,1846,17,2,52,1,72,180,377,205,191,953,0,0,0,0,0,145,82,317,60,604,753,569,810,456,2588,3842,4249,4312,2731,15134,599,411,805,313,2128
51540,Charlottesville,2022,1409,1141,1074,472,4096,361,631,540,254,1786,0,0,0,0,0,123,84,78,54,339,0,0,0,0,0,40,31,9,4,84,476,207,134,78,895,1324,1046,873,467,3710,284,178,299,37,798
51003,Albemarle,2023,4080,4512,4302,2756,15650,447,544,524,401,1916,18,0,35,0,53,226,377,223,179,1005,0,0,0,0,0,188,144,453,56,841,763,604,1037,563,2967,3779,4286,4096,2653,14814,697,465,1093,407,2662
51540,Charlottesville,2023,1485,1038,1272,494,4289,363,602,448,312,1725,0,0,0,0,0,118,120,76,44,358,0,0,0,0,0,36,27,8,19,90,482,220,179,76,957,1332,913,1020,476,3741,311,200,350,67,928
51003,Albemarle,2024,3841,4224,4327,2678,15070,522,601,471,438,2032,27,63,14,0,104,211,480,194,221,1106,0,0,0,0,0,197,213,575,140,1125,861,641,982,517,3001,3701,4183,4088,2634,14606,682,379,1227,435,2723
51540,Charlottesville,2024,1423,1044,1116,554,4137,315,419,248,327,1309,0,0,0,0,0,130,125,61,38,354,0,0,0,0,0,41,177,89,0,307,407,479,384,103,1373,1366,986,1006,501,3859,158,369,289,108,924
51,Virginia,2010,317444,317262,332792,208566,1176064,105057,107311,115195,77297,404860,1267,1528,2025,1347,6167,29407,27725,24815,14674,96621,278,240,489,288,1295,20427,16929,14833,8857,61046,32369,26936,22773,11946,94024,282086,287906,307919,194097,1072008,63743,51780,44136,25612,185271
51,Virginia,2011,315456,319878,331028,206865,1173227,105815,107548,114258,75922,403543,1224,1390,1893,1119,5626,29760,29079,25685,15299,99823,235,302,401,286,1224,19396,16935,14719,8810,59860,35023,28687,24308,12606,100624,277562,288058,303443,191180,1060243,66127,54451,47628,27209,195415
51,Virginia,2012,314866,322479,331057,204991,1173393,105121,106833,114781,73138,399873,1057,1278,1809,1037,5181,29579,30489,26576,15575,102219,241,285,511,347,1384,17802,15832,13628,8035,55297,39035,30995,27057,14279,111366,274760,287616,301222,188246,1051844,67918,57782,50468,28349,204517
51,Virginia,2013,316387,327213,329697,203509,1176806,103658,107455,112591,70960,394664,932,1233,1777,806,4748,29698,31836,27508,15884,104926,195,216,477,344,1232,16595,15987,13408,7770,53760,42323,33478,28891,15186,119878,273934,288791,297172,185543,1045440,68833,61416,53109,29534,212892
51,Virginia,2014,316948,326120,330564,203593,1177225,102823,106810,110824,69723,390180,820,1213,1325,760,4118,29425,32103,29644,16662,107834,244,203,387,318,1152,16866,16268,14371,7321,54826,44194,36098,30528,16129,126949,273296,285430,296290,183945,1038961,70390,64242,55773,31120,221525
51,Virginia,2015,317582,326254,328953,202861,1175650,102869,107568,109528,67987,387952,949,1339,1298,773,4359,28741,32792,31452,17189,110174,249,193,334,206,982,16734,16293,14330,7362,54719,45154,36865,31868,16945,130832,272864,282665,294113,182364,1032006,71768,67930,56313,32024,228035
51,Virginia,2016,317323,325169,329331,201792,1173615,100639,106901,107697,66848,382085,908,1500,1231,810,4449,27530,34117,31869,17797,111313,392,234,314,177,1117,16902,17248,14759,8063,56972,46563,38203,33461,17778,136005,271445,280512,292814,181307,1026078,73050,70408,58132,32700,234290
51,Virginia,2017,316494,322454,327292,200972,1167212,100659,106755,106884,66288,380586,922,1437,1156,652,4167,26861,33996,32533,18510,111900,344,249,351,193,1137,18387,17575,16848,8714,61524,46255,39682,34490,19321,139748,269711,277396,288943,179762,1015812,75347,71201,61417,34182,242147
