fips,locality,year,pop_total,pop_10to17,pop_10to19,pop_under18,pop_18over,pop_15to17_fem,pop_18_19_fem
51003,Albemarle,2009,92866,9505,15048,20237,72629,1766,2864
51540,Charlottesville,2009,41393,2494,4767,6719,34674,477,1252
51003,Albemarle,2010,96633,9944,15186,21289,75344,1775,2748
51540,Charlottesville,2010,42267,2527,5825,6402,35865,497,1785
51540,Charlottesville,2011,42758,2603,5204,6368,36390,473,1192
51003,Albemarle,2011,97978,10026,15001,21354,76624,1784,2720
51003,Albemarle,2012,99484,9881,15433,21447,78037,1701,3078
51540,Charlottesville,2012,43223,2626,4891,6498,36725,476,961
51540,Charlottesville,2013,43663,2548,4927,6531,37132,450,848
51003,Albemarle,2013,100636,9969,15528,21569,79067,1686,3149
51540,Charlottesville,2014,44505,2612,4879,6784,37721,435,801
51003,Albemarle,2014,101883,9947,15929,21633,80250,1853,3034
51540,Charlottesville,2015,45084,2614,4665,6907,38177,351,852
51003,Albemarle,2015,103108,10172,15774,21700,81408,1840,3102
51540,Charlottesville,2016,45538,2699,4294,7084,38454,381,855
51003,Albemarle,2016,104287,9900,15735,21721,82566,1848,3112
51540,Charlottesville,2017,46487,2727,5108,7263,39224,323,1280
51003,Albemarle,2017,105105,9815,15681,21738,83367,1945,3121
51540,Charlottesville,2018,47042,2764,5207,7385,39657,424,1309
51003,Albemarle,2018,106355,9970,15768,21734,84621,1968,3058
51540,Charlottesville,2019,47096,3115,5259,7368,39728,504,1083
51003,Albemarle,2019,107405,9728,15462,21723,85682,1951,3071
51540,Charlottesville,2020,47217,2732,4687,7321,39896,415,1134
51003,Albemarle,2020,108819,9785,15845,21863,86956,2005,3290
51003,Albemarle,2021,111438,10486,16642,22417,89021,1995,3263
51540,Charlottesville,2021,46597,2682,4660,7314,39283,501,1148
51003,Albemarle,2022,112513,10348,17253,22003,90510,1912,3369
51540,Charlottesville,2022,46289,2697,4581,7200,39089,493,1056
51003,Albemarle,2023,113683,10529,16795,22432,91251,1936,3288
51540,Charlottesville,2023,45863,2928,4834,7419,38444,495,953
51003,Albemarle,2024,114919,10557,16842,22438,92481,1949,3356
51540,Charlottesville,2024,45437,2920,4702,7480,37957,393,972
51,Virginia,2009,7721730,820749,1056741,1831470,5890260,152813,115251
51,Virginia,2010,7841754,835897,1072446,1840077,6001677,156909,115934
51,Virginia,2011,7926192,833199,1068030,1843927,6082265,155731,114919
51,Virginia,2012,8014955,832821,1068122,1848713,6166242,154142,115216
51,Virginia,2013,8100653,828808,1064226,1856014,6244639,153219,114816
51,Virginia,2014,8185131,832149,1068019,1862284,6322847,153519,115274
51,Virginia,2015,8256630,831086,1065046,1864668,6391962,153149,114449
51,Virginia,2016,8310301,831927,1065461,1865556,6444745,153361,114903
51,Virginia,2017,8365952,834204,1067238,1866274,6499678,154122,114459
51,Virginia,2018,8413774,838196,1070690,1867427,6546347,154752,114625
51,Virginia,2019,8454463,841415,1076966,1865699,6588764,154304,115101
51,Virginia,2020,8509358,848147,1083916,1868597,6640761,154393,116043
51,Virginia,2021,8582479,872398,1108924,1892752,6689727,158801,115951
51,Virginia,2022,8624511,870713,1119237,1876826,6747685,158640,121601
51,Virginia,2023,8657499,880565,1120501,1893985,6763514,161187,116851
51,Virginia,2024,8705170,882467,1120959,1890833,6814337,163025,116299
