school_year,level,division_number,division_name,total_sped,total_students,percent_sped
2010-2011,Division,2,Albemarle County,1508,13221,11.413866182258554
2010-2011,Division,104,Charlottesville City,596,4030,14.789081885856078
2011-2012,Division,2,Albemarle County,1449,13113,11.057692307692308
2011-2012,Division,104,Charlottesville City,608,4175,14.562874251497009
2012-2013,Division,2,Albemarle County,1438,13277,10.842192565784512
2012-2013,Division,104,Charlottesville City,616,4236,14.542020774315391
2013-2014,Division,2,Albemarle County,1460,13432,10.879284649776451
2013-2014,Division,104,Charlottesville City,608,4340,14.009216589861753
2014-2015,Division,2,Albemarle County,1490,13689,10.891812865497077
2014-2015,Division,104,Charlottesville City,595,4356,13.659320477502296
2015-2016,Division,2,Albemarle County,1572,13772,11.418609718893006
2015-2016,Division,104,Charlottesville City,585,4382,13.365318711446196
2016-2017,Division,2,Albemarle County,1675,13818,12.1464829586657
2016-2017,Division,104,Charlottesville City,583,4478,13.039588458957727
2017-2018,Division,2,Albemarle County,1772,13937,12.723486752351548
2017-2018,Division,104,Charlottesville City,596,4529,13.165451734040204
2018-2019,Division,2,Albemarle County,1865,14013,13.327140202944118
2018-2019,Division,104,Charlottesville City,615,4561,13.489800394823426
2019-2020,Division,2,Albemarle County,1961,14435,13.614273812829769
2019-2020,Division,104,Charlottesville City,643,4544,14.156759136944078
2020-2021,Division,2,Albemarle County,1792,13532,13.275057411660123
2020-2021,Division,104,Charlottesville City,615,4258,14.456981664315938
2021-2022,Division,2,Albemarle County,1835,13749,13.373660811894178
2021-2022,Division,104,Charlottesville City,621,4290,14.482276119402984
2010-2011,State,0,Virginia,163506,1252266,13.060116666094226
2011-2012,State,0,Virginia,162651,1258896,12.923979814401193
2012-2013,State,0,Virginia,162614,1265277,12.856081209284676
2013-2014,State,0,Virginia,162184,1273532,12.738197155221842
2014-2015,State,0,Virginia,163267,1280370,12.757496837329748
2015-2016,State,0,Virginia,165776,1284114,12.915993374335994
2016-2017,State,0,Virginia,168941,1288033,13.129677138067525
2017-2018,State,0,Virginia,173397,1292706,13.428730080178806
2018-2019,State,0,Virginia,176585,1290513,13.697509106592118
2019-2020,State,0,Virginia,180541,1298083,13.921802683791606
2020-2021,State,0,Virginia,174638,1252752,13.954350596686362
2021-2022,State,0,Virginia,173910,1251970,13.910596561504656
2022-2023,Division,2,Albemarle County,1845,13970,13.206871868289191
2022-2023,Division,104,Charlottesville City,600,4491,13.360053440213763
2022-2023,State,0,Virginia,178891,1263367,14.159860119822664
2023-2024,Division,2,Albemarle County,1926,13835,13.921214311528733
2023-2024,Division,104,Charlottesville City,567,4444,12.758775877587759
2023-2024,State,0,Virginia,185651,1262011,14.71072756101175
2024-2025,Division,2,Albemarle County,2023,14173,14.273618852748182
2024-2025,Division,104,Charlottesville City,565,4443,12.71663290569435
2024-2025,State,0,Virginia,190120,1261387,15.072297399608525
