location_type,location,age_group,time_frame,data_format,rate_teen_births
State,Virginia,15-17,2009,"Rate per 1,000",14.46679
State,Virginia,18-19,2009,"Rate per 1,000",52.33137
State,Virginia,15-17,2010,"Rate per 1,000",12.5152
State,Virginia,18-19,2010,"Rate per 1,000",47.83979
State,Virginia,15-17,2011,"Rate per 1,000",11.14737
State,Virginia,18-19,2011,"Rate per 1,000",42.67502
State,Virginia,15-17,2012,"Rate per 1,000",10.23187
State,Virginia,18-19,2012,"Rate per 1,000",39.90325
State,Virginia,15-17,2013,"Rate per 1,000",7.95836
State,Virginia,18-19,2013,"Rate per 1,000",36.37484
State,Virginia,15-17,2014,"Rate per 1,000",7.65072
State,Virginia,18-19,2014,"Rate per 1,000",33.03005
State,Virginia,15-17,2015,"Rate per 1,000",6.85
State,Virginia,18-19,2015,"Rate per 1,000",31.26
State,Virginia,15-17,2016,"Rate per 1,000",6.18325
State,Virginia,18-19,2016,"Rate per 1,000",28.57455
State,Virginia,15-17,2017,"Rate per 1,000",5.82866
State,Virginia,18-19,2017,"Rate per 1,000",27.8502
State,Virginia,15-17,2018,"Rate per 1,000",5.6519
State,Virginia,18-19,2018,"Rate per 1,000",26.1021
State,Virginia,15-19,2021,"Rate per 1,000",11.56866
State,Virginia,15-19,2022,"Rate per 1,000",11.01589
State,Virginia,15-19,2023,"Rate per 1,000",10.90212
State,Virginia,15-17,2019,"Rate per 1,000",4.72807
State,Virginia,18-19,2019,"Rate per 1,000",21.9888
State,Virginia,15-17,2020,"Rate per 1,000",5.1359
State,Virginia,18-19,2020,"Rate per 1,000",24.141
County,Albemarle,15-17,2010,"Rate per 1,000",7.78643
County,Albemarle,18-19,2009,"Rate per 1,000",14.88203
County,Albemarle,15-17,2009,"Rate per 1,000",5.66251
County,Albemarle,15-17,2011,"Rate per 1,000",6.19369
County,Albemarle,18-19,2010,"Rate per 1,000",14.76793
County,Albemarle,18-19,2012,"Rate per 1,000",10.27046
County,Albemarle,15-17,2012,"Rate per 1,000",5.55864
County,Albemarle,18-19,2011,"Rate per 1,000",9.28154
County,Albemarle,15-17,2013,"Rate per 1,000",3.81056
County,Albemarle,18-19,2013,"Rate per 1,000",9.14077
County,Albemarle,18-19,2018,"Rate per 1,000",6.629
County,Albemarle,15-17,2018,"Rate per 1,000",5.2274
County,Albemarle,18-19,2017,"Rate per 1,000",8.358
County,Albemarle,15-17,2017,"Rate per 1,000",0.5179
County,Albemarle,18-19,2016,"Rate per 1,000",7.50085
County,Albemarle,15-17,2016,"Rate per 1,000",2.01005
County,Albemarle,18-19,2014,"Rate per 1,000",7.18133
County,Albemarle,15-17,2014,"Rate per 1,000",3.5515
County,Albemarle,18-19,2015,"Rate per 1,000",5.92
County,Albemarle,15-17,2015,"Rate per 1,000",1.52
County,Albemarle,18-19,2019,"Rate per 1,000",3.696
County,Albemarle,15-17,2019,"Rate per 1,000",2.1775
County,Albemarle,15-17,2020,"Rate per 1,000",3.2137
County,Albemarle,15-19,2021,"Rate per 1,000",2.23714
County,Albemarle,15-19,2022,"Rate per 1,000",1.12474
County,Albemarle,15-19,2023,"Rate per 1,000",2.74614
County,Albemarle,18-19,2020,"Rate per 1,000",4.714
County,Charlottesville,18-19,2019,"Rate per 1,000",9.383
County,Charlottesville,15-19,2022,"Rate per 1,000",4.64723
County,Charlottesville,15-19,2023,"Rate per 1,000",5.27383
County,Charlottesville,15-17,2019,"Rate per 1,000",8.4211
County,Charlottesville,18-19,2020,"Rate per 1,000",8.299
County,Charlottesville,15-19,2021,"Rate per 1,000",8.97436
County,Charlottesville,15-17,2020,"Rate per 1,000",6.4103
County,Charlottesville,18-19,2014,"Rate per 1,000",17.94258
County,Charlottesville,15-17,2014,"Rate per 1,000",2.12766
County,Charlottesville,18-19,2015,"Rate per 1,000",11.44
County,Charlottesville,15-17,2015,"Rate per 1,000",2.26
County,Charlottesville,18-19,2016,"Rate per 1,000",15.81028
County,Charlottesville,15-17,2016,"Rate per 1,000",4.329
County,Charlottesville,15-17,2017,"Rate per 1,000",2
County,Charlottesville,18-19,2017,"Rate per 1,000",20.513
County,Charlottesville,15-17,2018,"Rate per 1,000",6.1475
County,Charlottesville,18-19,2018,"Rate per 1,000",15.094
County,Charlottesville,18-19,2013,"Rate per 1,000",23.62205
County,Charlottesville,15-17,2013,"Rate per 1,000",12.47401
County,Charlottesville,18-19,2011,"Rate per 1,000",15.54404
County,Charlottesville,15-17,2012,"Rate per 1,000",16.7364
County,Charlottesville,18-19,2012,"Rate per 1,000",25.9901
County,Charlottesville,18-19,2010,"Rate per 1,000",18.6722
County,Charlottesville,15-17,2011,"Rate per 1,000",15.80135
County,Charlottesville,15-17,2009,"Rate per 1,000",19.02748
County,Charlottesville,18-19,2009,"Rate per 1,000",21.60761
County,Charlottesville,15-17,2010,"Rate per 1,000",12.65823
