GEOID,local_agency,region_name,sfy_year,group,cps_total_children,cps_count_group,population_count_group,cps_per_bygroup,cps_per_byallcps,cps_rate_bygroup,cps_rate_byallcps
51003,Albemarle,Piedmont,2016,all,459,459,21721,2.11,100,21.13,1000
51003,Albemarle,Piedmont,2016,hispanic,459,61,1997,3.05,13.29,30.55,132.9
51003,Albemarle,Piedmont,2016,aian,459,0,46,0,0,0,0
51003,Albemarle,Piedmont,2016,asian,459,4,928,0.43,0.87,4.31,8.71
51003,Albemarle,Piedmont,2016,black,459,151,2201,6.86,32.9,68.61,328.98
51003,Albemarle,Piedmont,2016,nhpi,459,2,0,Inf,0.44,Inf,4.36
51003,Albemarle,Piedmont,2016,white,459,333,16725,1.99,72.55,19.91,725.49
51540,Charlottesville,Piedmont,2016,all,498,498,7084,7.03,100,70.3,1000
51540,Charlottesville,Piedmont,2016,hispanic,498,34,656,5.18,6.83,51.83,68.27
51540,Charlottesville,Piedmont,2016,aian,498,0,49,0,0,0,0
51540,Charlottesville,Piedmont,2016,asian,498,15,314,4.78,3.01,47.77,30.12
51540,Charlottesville,Piedmont,2016,black,498,370,1918,19.29,74.3,192.91,742.97
51540,Charlottesville,Piedmont,2016,nhpi,498,0,11,0,0,0,0
51540,Charlottesville,Piedmont,2016,white,498,188,4176,4.5,37.75,45.02,377.51
51,Virginia,State,2016,all,54391,54391,1865556,2.92,100,29.16,1000
51,Virginia,State,2016,hispanic,54391,5692,234290,2.43,10.46,24.29,104.65
51,Virginia,State,2016,aian,54391,90,4449,2.02,0.17,20.23,1.65
51,Virginia,State,2016,asian,54391,734,111313,0.66,1.35,6.59,13.49
51,Virginia,State,2016,black,54391,16396,382085,4.29,30.14,42.91,301.45
51,Virginia,State,2016,nhpi,54391,261,1117,23.37,0.48,233.66,4.8
51,Virginia,State,2016,white,54391,35871,1173615,3.06,65.95,30.56,659.5
51003,Albemarle,Piedmont,2017,all,606,606,21738,2.79,100,27.88,1000
51003,Albemarle,Piedmont,2017,hispanic,606,95,2059,4.61,15.68,46.14,156.77
51003,Albemarle,Piedmont,2017,aian,606,1,56,1.79,0.17,17.86,1.65
51003,Albemarle,Piedmont,2017,asian,606,4,1028,0.39,0.66,3.89,6.6
51003,Albemarle,Piedmont,2017,black,606,218,2393,9.11,35.97,91.1,359.74
51003,Albemarle,Piedmont,2017,nhpi,606,5,0,Inf,0.83,Inf,8.25
51003,Albemarle,Piedmont,2017,white,606,433,16805,2.58,71.45,25.77,714.52
51540,Charlottesville,Piedmont,2017,all,588,588,7263,8.1,100,80.96,1000
51540,Charlottesville,Piedmont,2017,hispanic,588,55,740,7.43,9.35,74.32,93.54
51540,Charlottesville,Piedmont,2017,aian,588,0,61,0,0,0,0
51540,Charlottesville,Piedmont,2017,asian,588,15,339,4.42,2.55,44.25,25.51
51540,Charlottesville,Piedmont,2017,black,588,396,1914,20.69,67.35,206.9,673.47
51540,Charlottesville,Piedmont,2017,nhpi,588,0,9,0,0,0,0
51540,Charlottesville,Piedmont,2017,white,588,234,4295,5.45,39.8,54.48,397.96
51,Virginia,State,2017,all,58681,58681,1866274,3.14,100,31.44,1000
51,Virginia,State,2017,hispanic,58681,5997,242147,2.48,10.22,24.77,102.2
51,Virginia,State,2017,aian,58681,107,4167,2.57,0.18,25.68,1.82
51,Virginia,State,2017,asian,58681,767,111900,0.69,1.31,6.85,13.07
51,Virginia,State,2017,black,58681,17856,380586,4.69,30.43,46.92,304.29
51,Virginia,State,2017,nhpi,58681,338,1137,29.73,0.58,297.27,5.76
51,Virginia,State,2017,white,58681,38687,1167212,3.31,65.93,33.14,659.28
51003,Albemarle,Piedmont,2018,all,601,601,21734,2.77,100,27.65,1000
51003,Albemarle,Piedmont,2018,hispanic,601,101,2109,4.79,16.81,47.89,168.05
51003,Albemarle,Piedmont,2018,aian,601,0,72,0,0,0,0
51003,Albemarle,Piedmont,2018,asian,601,15,1101,1.36,2.5,13.62,24.96
51003,Albemarle,Piedmont,2018,black,601,167,2520,6.63,27.79,66.27,277.87
51003,Albemarle,Piedmont,2018,nhpi,601,1,0,Inf,0.17,Inf,1.66
51003,Albemarle,Piedmont,2018,white,601,422,16839,2.51,70.22,25.06,702.16
51540,Charlottesville,Piedmont,2018,all,540,540,7385,7.31,100,73.12,1000
51540,Charlottesville,Piedmont,2018,hispanic,540,32,777,4.12,5.93,41.18,59.26
51540,Charlottesville,Piedmont,2018,aian,540,0,80,0,0,0,0
51540,Charlottesville,Piedmont,2018,asian,540,12,352,3.41,2.22,34.09,22.22
51540,Charlottesville,Piedmont,2018,black,540,375,1973,19.01,69.44,190.07,694.44
51540,Charlottesville,Piedmont,2018,nhpi,540,0,12,0,0,0,0
51540,Charlottesville,Piedmont,2018,white,540,221,4450,4.97,40.93,49.66,409.26
51,Virginia,State,2018,all,58469,58469,1867427,3.13,100,31.31,1000
51,Virginia,State,2018,hispanic,58469,6334,249917,2.53,10.83,25.34,108.33
51,Virginia,State,2018,aian,58469,91,4458,2.04,0.16,20.41,1.56
51,Virginia,State,2018,asian,58469,805,112660,0.71,1.38,7.15,13.77
51,Virginia,State,2018,black,58469,17321,375959,4.61,29.62,46.07,296.24
51,Virginia,State,2018,nhpi,58469,279,1326,21.04,0.48,210.41,4.77
51,Virginia,State,2018,white,58469,38598,1161193,3.32,66.01,33.24,660.14
51003,Albemarle,Piedmont,2019,all,606,606,21723,2.79,100,27.9,1000
51003,Albemarle,Piedmont,2019,hispanic,606,120,2123,5.65,19.8,56.52,198.02
51003,Albemarle,Piedmont,2019,aian,606,0,56,0,0,0,0
51003,Albemarle,Piedmont,2019,asian,606,12,941,1.28,1.98,12.75,19.8
51003,Albemarle,Piedmont,2019,black,606,152,2425,6.27,25.08,62.68,250.83
51003,Albemarle,Piedmont,2019,nhpi,606,9,0,Inf,1.49,Inf,14.85
51003,Albemarle,Piedmont,2019,white,606,435,16986,2.56,71.78,25.61,717.82
51540,Charlottesville,Piedmont,2019,all,429,429,7368,5.82,100,58.22,1000
51540,Charlottesville,Piedmont,2019,hispanic,429,49,799,6.13,11.42,61.33,114.22
51540,Charlottesville,Piedmont,2019,aian,429,0,31,0,0,0,0
51540,Charlottesville,Piedmont,2019,asian,429,9,361,2.49,2.1,24.93,20.98
51540,Charlottesville,Piedmont,2019,black,429,288,2015,14.29,67.13,142.93,671.33
51540,Charlottesville,Piedmont,2019,nhpi,429,0,25,0,0,0,0
51540,Charlottesville,Piedmont,2019,white,429,166,4467,3.72,38.69,37.16,386.95
51,Virginia,State,2019,all,59845,59845,1865699,3.21,100,32.08,1000
51,Virginia,State,2019,hispanic,59845,6276,256038,2.45,10.49,24.51,104.87
51,Virginia,State,2019,aian,59845,98,4654,2.11,0.16,21.06,1.64
51,Virginia,State,2019,asian,59845,857,111854,0.77,1.43,7.66,14.32
51,Virginia,State,2019,black,59845,18410,373575,4.93,30.76,49.28,307.63
51,Virginia,State,2019,nhpi,59845,245,1321,18.55,0.41,185.47,4.09
51,Virginia,State,2019,white,59845,39318,1154736,3.4,65.7,34.05,657
51003,Albemarle,Piedmont,2020,all,677,677,21863,3.1,100,30.97,1000
51003,Albemarle,Piedmont,2020,hispanic,677,107,2099,5.1,15.81,50.98,158.05
51003,Albemarle,Piedmont,2020,aian,677,0,84,0,0,0,0
51003,Albemarle,Piedmont,2020,asian,677,12,1041,1.15,1.77,11.53,17.73
51003,Albemarle,Piedmont,2020,black,677,162,2300,7.04,23.93,70.43,239.29
