GEOID,NAME,year,total_16_19yr,laborforce_16_19yr,unemployed_16_19yr,per_laborforce_16_19yr,per_unemployed_16_19yr
51003,Albemarle County,2010,7687,2427,477,31.572785221803045,19.65389369592089
51003,Albemarle County,2011,7431,2227,441,29.969048580271835,19.802424786708578
51003,Albemarle County,2012,7824,2081,414,26.59764826175869,19.894281595386833
51003,Albemarle County,2013,7940,1622,293,20.428211586901764,18.064118372379777
51003,Albemarle County,2014,8480,1738,347,20.495283018867923,19.965477560414268
51003,Albemarle County,2015,7953,1745,201,21.94140575883314,11.51862464183381
51003,Albemarle County,2016,8249,1841,166,22.31785670990423,9.016838674633352
51003,Albemarle County,2017,8302,1826,158,21.99470007227174,8.652792990142387
51003,Albemarle County,2018,8203,2206,190,26.89260026819456,8.612873980054397
51003,Albemarle County,2019,8081,2176,173,26.927360475188717,7.950367647058823
51003,Albemarle County,2020,8563,2165,260,25.283195141889525,12.009237875288685
51003,Albemarle County,2021,8677,2117,177,24.3978333525412,8.360888049126123
51540,Charlottesville City,2010,4135,1227,123,29.67351874244256,10.024449877750612
51540,Charlottesville City,2011,3459,1064,185,30.760335357039608,17.387218045112782
51540,Charlottesville City,2012,3105,937,174,30.177133655394524,18.56990394877268
51540,Charlottesville City,2013,3113,760,158,24.41374879537424,20.789473684210527
51540,Charlottesville City,2014,3017,829,153,27.477626781571097,18.455971049457176
51540,Charlottesville City,2015,2819,849,123,30.117062788222775,14.487632508833922
51540,Charlottesville City,2016,2445,732,167,29.938650306748464,22.814207650273225
51540,Charlottesville City,2017,3063,742,141,24.224616389160953,19.00269541778976
51540,Charlottesville City,2018,3279,886,203,27.02043305885941,22.91196388261851
51540,Charlottesville City,2019,2928,887,146,30.293715846994537,16.459977452085685
51540,Charlottesville City,2020,2572,789,90,30.676516329704512,11.40684410646388
51540,Charlottesville City,2021,2617,839,57,32.05961024073367,6.793802145411204
51,Virginia,2010,451221,189879,40017,42.081153137819385,21.07500039498839
51,Virginia,2011,448121,181071,40446,40.406720506291826,22.33709428898057
51,Virginia,2012,446841,174858,41956,39.132040255929965,23.9943268251953
51,Virginia,2013,444395,168263,41262,37.86338730183733,24.522325169526276
51,Virginia,2014,444447,165224,38505,37.175186242679104,23.304725705708616
51,Virginia,2015,440954,165724,35826,37.58305855032498,21.617870676546545
51,Virginia,2016,441900,167617,33754,37.93097985969676,20.137575544246705
51,Virginia,2017,441747,168355,30590,38.11118128702629,18.169938522764397
51,Virginia,2018,442366,170231,29146,38.48193577264075,17.121440865647266
51,Virginia,2019,445847,177042,28202,39.709137888109595,15.929553439296887
51,Virginia,2020,444462,178274,27992,40.11006565240673,15.701672706059211
51,Virginia,2021,450406,182233,26546,40.459718565028,14.567065240653449
51003,Albemarle County,2022,9548,2758,207,28.885630498533725,7.505438723712836
51540,Charlottesville City,2022,2446,896,73,36.63123466884709,8.147321428571429
51003,Albemarle County,2023,8956,2450,208,27.35596248325145,8.489795918367347
51540,Charlottesville City,2023,2541,963,89,37.89846517119244,9.2419522326064385
51003,Albemarle County,2024,9039,2541,259,28.11151676070362,10.192837465564738
51540,Charlottesville City,2024,2400,813,71,33.875,8.733087330873309
51,Virginia,2022,462930,191174,26462,41.296524312531055,13.841840417630014
51,Virginia,2023,457256,187438,24909,40.991917000542365,13.289194293579742
51,Virginia,2024,461400,184289,23693,39.941265713047244,12.856437443363413
